@relation kddcup.data

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {rje,gopher,urh_i,link,http,smtp,eco_i,domain_u,auth,finger,ecr_i,telnet,ftp_data,private,ftp,pop_3,ntp_u,supdup,netbios_ssn,uucp,discard,csnet_ns,exec,iso_tsap,ldap,imap4,mtp,ctf,pop_2,klogin,netbios_ns,remote_job,other,urp_i,X11,kshell,efs,hostnames,uucp_path,courier,shell,daytime,name,http_443,ssh,nntp,echo,netstat,time,netbios_dgm,vmnet,sunrpc,bgp,systat,nnsp,login,whois,sql_net,Z39_50,printer,domain}
@attribute flag {SF,REJ,RSTR,SH,S0,RSTO,S1}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute hot numeric
@attribute num_failed_logins numeric
@attribute logged_in numeric
@attribute num_compromised numeric
@attribute root_shell numeric
@attribute su_attempted numeric
@attribute num_root numeric
@attribute num_file_creations numeric
@attribute num_shells numeric
@attribute num_access_files numeric
@attribute num_outbound_cmds numeric
@attribute is_host_login numeric
@attribute is_guest_login numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute class. {normal.,attack.}

@data

0,tcp,http,SF,202,38467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,1,0,0.12,16,255,1,0,0.06,0.05,0,0,0,0,normal.
0,tcp,http,SF,306,1138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,1,0,0,24,255,1,0,0.04,0.04,0,0,0,0,normal.
0,tcp,http,SF,306,1030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,1,0,0,28,255,1,0,0.04,0.04,0,0,0,0,normal.
0,tcp,http,SF,230,1600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,49,255,1,0,0.02,0.04,0,0,0,0,normal.
0,tcp,http,SF,292,1694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,238,1695,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,305,106426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,83,83,1,0,0.01,0,0,0,0,0,normal.
0,tcp,http,SF,272,4145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,1,0,0.18,103,103,1,0,0.01,0,0,0,0,0,normal.
0,tcp,http,SF,223,1415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,162,162,1,0,0.01,0,0,0,0,0,normal.
0,tcp,http,SF,325,324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,17,255,1,0,0.06,0.02,0,0,0,0,normal.
0,tcp,http,SF,236,1425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,0.29,89,255,1,0,0.01,0.02,0,0,0,0,normal.
0,tcp,http,SF,221,1425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,340,912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,1,0,0.1,33,255,1,0,0.03,0.04,0.03,0.01,0,0,normal.
0,tcp,http,SF,327,913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,38,255,1,0,0.03,0.04,0,0.01,0,0,normal.
0,tcp,http,SF,292,260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,38,255,1,0,0.03,0.04,0,0,0,0,normal.
0,tcp,http,SF,227,1242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,185,26039,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,227,3793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,215,8422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,1,0,0.11,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,191,1472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,1,0,0.09,9,9,1,0,0.11,0,0,0,0,0,normal.
0,tcp,http,SF,207,1472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,95,95,1,0,0.01,0,0,0,0,0,normal.
0,tcp,http,SF,164,4864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0.5,14,255,1,0,0.07,0.04,0,0,0,0,normal.
1,tcp,smtp,SF,693,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,100,140,0.33,0.06,0.01,0.02,0,0,0,0,normal.
0,tcp,http,SF,200,7384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0,normal.
0,tcp,http,SF,208,5260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,268,9518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,47,255,1,0,0.02,0.01,0,0.01,0,0,normal.
0,tcp,http,SF,233,636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0.67,108,255,1,0,0.01,0.01,0,0.01,0,0,normal.
0,tcp,http,SF,286,267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,42,255,1,0,0.02,0.07,0,0,0,0,normal.
0,tcp,http,SF,243,387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,1,0,0,118,255,1,0,0.01,0.04,0,0,0,0,normal.
0,tcp,http,SF,228,306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,255,1,0,1,0.05,0,0,0,0,normal.
0,tcp,http,SF,331,3971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,75,255,1,0,0.01,0.06,0,0,0,0,normal.
0,tcp,http,SF,249,2454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0.3,3,255,1,0,0.33,0.02,0,0,0,0,normal.
0,tcp,http,SF,325,3073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,88,255,1,0,0.01,0.04,0,0,0,0,normal.
0,tcp,http,SF,280,2449,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,13,255,1,0,0.08,0.03,0,0,0,0,normal.
0,tcp,http,SF,277,27010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,1,0,0.12,15,255,1,0,0.07,0.04,0,0,0,0,normal.
0,tcp,http,SF,291,3411,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,29,255,1,0,0.03,0.05,0,0,0,0,normal.
0,tcp,http,SF,260,1541,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,1,0,0.12,117,255,1,0,0.01,0.04,0,0,0,0,normal.
0,tcp,http,SF,326,626,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,1,0,0.33,44,219,1,0,0.02,0.03,0,0,0,0,normal.
0,tcp,http,SF,210,290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,1,0,0.23,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,307,520,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,35,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,316,1689,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,normal.
0,tcp,http,SF,224,4414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,40,255,1,0,0.03,0.04,0,0,0,0,normal.
